"","asd_desc","agg_level_desc","year","crop","info","class_desc","domain_desc","unit_desc","commodity_desc","value"
"1","","STATE",2005,"BARLEY ","ACRES HARVESTED","ALL CLASSES","TOTAL","ACRES","BARLEY",6e+05
"2","","STATE",2005,"BARLEY ","YIELD, MEASURED IN BU / ACRE","ALL CLASSES","TOTAL","BU / ACRE","BARLEY",87
"3","","STATE",2005,"BARLEY, IRRIGATED ","ACRES HARVESTED","ALL CLASSES","TOTAL","ACRES","BARLEY",425000
"4","","STATE",2005,"BARLEY, IRRIGATED ","YIELD, MEASURED IN BU / ACRE","ALL CLASSES","TOTAL","BU / ACRE","BARLEY",102.1
"5","","STATE",2005,"BARLEY, NON-IRRIGATED ","ACRES HARVESTED","ALL CLASSES","TOTAL","ACRES","BARLEY",175000
"6","","STATE",2005,"BARLEY, NON-IRRIGATED ","YIELD, MEASURED IN BU / ACRE","ALL CLASSES","TOTAL","BU / ACRE","BARLEY",50.3
"7","","STATE",2005,"BEANS, DRY EDIBLE, BLACK ","ACRES HARVESTED","DRY EDIBLE, BLACK","TOTAL","ACRES","BEANS",2400
"8","","STATE",2005,"BEANS, DRY EDIBLE, BLACK ","YIELD, MEASURED IN LB / ACRE","DRY EDIBLE, BLACK","TOTAL","LB / ACRE","BEANS",2080
"9","","STATE",2005,"BEANS, DRY EDIBLE, CRANBERRY ","ACRES HARVESTED","DRY EDIBLE, CRANBERRY","TOTAL","ACRES","BEANS",700
"10","","STATE",2005,"BEANS, DRY EDIBLE, CRANBERRY ","YIELD, MEASURED IN LB / ACRE","DRY EDIBLE, CRANBERRY","TOTAL","LB / ACRE","BEANS",1290
"11","","STATE",2005,"BEANS, DRY EDIBLE, DARK, RED, KIDNEY ","ACRES HARVESTED","DRY EDIBLE, DARK, RED, KIDNEY","TOTAL","ACRES","BEANS",1800
"12","","STATE",2005,"BEANS, DRY EDIBLE, DARK, RED, KIDNEY ","YIELD, MEASURED IN LB / ACRE","DRY EDIBLE, DARK, RED, KIDNEY","TOTAL","LB / ACRE","BEANS",2000
"13","","STATE",2005,"BEANS, DRY EDIBLE, GREAT NORTHERN ","ACRES HARVESTED","DRY EDIBLE, GREAT NORTHERN","TOTAL","ACRES","BEANS",2100
"14","","STATE",2005,"BEANS, DRY EDIBLE, GREAT NORTHERN ","YIELD, MEASURED IN LB / ACRE","DRY EDIBLE, GREAT NORTHERN","TOTAL","LB / ACRE","BEANS",2430
"15","","STATE",2005,"BEANS, DRY EDIBLE, GREAT NORTHERN, IRRIGATED ","ACRES HARVESTED","DRY EDIBLE, GREAT NORTHERN","TOTAL","ACRES","BEANS",2100
"16","","STATE",2005,"BEANS, DRY EDIBLE, GREAT NORTHERN, IRRIGATED ","YIELD, MEASURED IN LB / ACRE","DRY EDIBLE, GREAT NORTHERN","TOTAL","LB / ACRE","BEANS",2430
"17","","STATE",2005,"BEANS, DRY EDIBLE, INCL CHICKPEAS ","ACRES HARVESTED","DRY EDIBLE, INCL CHICKPEAS","TOTAL","ACRES","BEANS",98000
"18","","STATE",2005,"BEANS, DRY EDIBLE, INCL CHICKPEAS ","YIELD, MEASURED IN LB / ACRE","DRY EDIBLE, INCL CHICKPEAS","TOTAL","LB / ACRE","BEANS",1900
"19","","STATE",2005,"BEANS, DRY EDIBLE, INCL CHICKPEAS, IRRIGATED ","ACRES HARVESTED","DRY EDIBLE, INCL CHICKPEAS","TOTAL","ACRES","BEANS",67700
"20","","STATE",2005,"BEANS, DRY EDIBLE, INCL CHICKPEAS, IRRIGATED ","YIELD, MEASURED IN LB / ACRE","DRY EDIBLE, INCL CHICKPEAS","TOTAL","LB / ACRE","BEANS",2270
"21","","STATE",2005,"BEANS, DRY EDIBLE, LIGHT, RED, KIDNEY ","ACRES HARVESTED","DRY EDIBLE, LIGHT, RED, KIDNEY","TOTAL","ACRES","BEANS",2000
"22","","STATE",2005,"BEANS, DRY EDIBLE, LIGHT, RED, KIDNEY ","YIELD, MEASURED IN LB / ACRE","DRY EDIBLE, LIGHT, RED, KIDNEY","TOTAL","LB / ACRE","BEANS",2250
"23","","STATE",2005,"BEANS, DRY EDIBLE, NAVY ","ACRES HARVESTED","DRY EDIBLE, NAVY","TOTAL","ACRES","BEANS",5500
"24","","STATE",2005,"BEANS, DRY EDIBLE, NAVY ","YIELD, MEASURED IN LB / ACRE","DRY EDIBLE, NAVY","TOTAL","LB / ACRE","BEANS",2470
"25","","STATE",2005,"BEANS, DRY EDIBLE, OTHER ","ACRES HARVESTED","DRY EDIBLE, OTHER","TOTAL","ACRES","BEANS",2400
"26","","STATE",2005,"BEANS, DRY EDIBLE, OTHER ","YIELD, MEASURED IN LB / ACRE","DRY EDIBLE, OTHER","TOTAL","LB / ACRE","BEANS",2130
"27","","STATE",2005,"BEANS, DRY EDIBLE, PINK ","ACRES HARVESTED","DRY EDIBLE, PINK","TOTAL","ACRES","BEANS",12500
