,asd_desc,agg_level_desc,year,crop,info,class_desc,domain_desc,unit_desc,commodity_desc,value
4,EAST,AGRICULTURAL DISTRICT,1990,BARLEY ,ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,BARLEY,465000
20,EAST,AGRICULTURAL DISTRICT,1990,"BARLEY, IRRIGATED ",ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,BARLEY,294000
35,EAST,AGRICULTURAL DISTRICT,1990,"BARLEY, NON-IRRIGATED ",ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,BARLEY,171000
50,EAST,AGRICULTURAL DISTRICT,1990,"BARLEY, NON-IRRIGATED, CONTINUOUS CROP ",ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,BARLEY,125500
65,EAST,AGRICULTURAL DISTRICT,1990,"BARLEY, NON-IRRIGATED, FOLLOWING SUMMER FALLOW ",ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,BARLEY,45500
85,EAST,AGRICULTURAL DISTRICT,1990,"BEANS, DRY EDIBLE, INCL CHICKPEAS ",ACRES HARVESTED,"DRY EDIBLE, INCL CHICKPEAS",TOTAL,ACRES,BEANS,200
95,EAST,AGRICULTURAL DISTRICT,1990,"BEANS, DRY EDIBLE, INCL CHICKPEAS, IRRIGATED ",ACRES HARVESTED,"DRY EDIBLE, INCL CHICKPEAS",TOTAL,ACRES,BEANS,200
118,EAST,AGRICULTURAL DISTRICT,1990,"CORN, GRAIN ",ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,CORN,100
128,EAST,AGRICULTURAL DISTRICT,1990,"CORN, SILAGE ",ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,CORN,7000
141,EAST,AGRICULTURAL DISTRICT,1990,"HAY, ALFALFA ",ACRES HARVESTED,ALFALFA,TOTAL,ACRES,HAY,451000
152,EAST,AGRICULTURAL DISTRICT,1990,"HAY, ALFALFA, IRRIGATED ",ACRES HARVESTED,ALFALFA,TOTAL,ACRES,HAY,378000
162,EAST,AGRICULTURAL DISTRICT,1990,"HAY, ALFALFA, NON-IRRIGATED ",ACRES HARVESTED,ALFALFA,TOTAL,ACRES,HAY,73000
181,EAST,AGRICULTURAL DISTRICT,1990,OATS ,ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,OATS,10500
203,EAST,AGRICULTURAL DISTRICT,1990,SUGARBEETS ,ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,SUGARBEETS,17400
213,EAST,AGRICULTURAL DISTRICT,1990,WHEAT ,ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,WHEAT,595000
229,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, IRRIGATED ",ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,WHEAT,354000
244,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, NON-IRRIGATED ",ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,WHEAT,241000
259,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, NON-IRRIGATED, CONTINUOUS CROP ",ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,WHEAT,55700
274,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, NON-IRRIGATED, FOLLOWING SUMMER FALLOW ",ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,WHEAT,185300
289,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, SPRING, (EXCL DURUM) ",ACRES HARVESTED,"SPRING, (EXCL DURUM)",TOTAL,ACRES,WHEAT,276000
305,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, SPRING, (EXCL DURUM), IRRIGATED ",ACRES HARVESTED,"SPRING, (EXCL DURUM)",TOTAL,ACRES,WHEAT,210000
320,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, SPRING, (EXCL DURUM), NON-IRRIGATED ",ACRES HARVESTED,"SPRING, (EXCL DURUM)",TOTAL,ACRES,WHEAT,66000
335,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, SPRING, (EXCL DURUM), NON-IRRIGATED, CONTINUOUS CROP ",ACRES HARVESTED,"SPRING, (EXCL DURUM)",TOTAL,ACRES,WHEAT,26200
349,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, SPRING, (EXCL DURUM), NON-IRRIGATED, FOLLOWING SUMMER FALLOW ",ACRES HARVESTED,"SPRING, (EXCL DURUM)",TOTAL,ACRES,WHEAT,39800
362,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, WINTER ",ACRES HARVESTED,WINTER,TOTAL,ACRES,WHEAT,319000
377,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, WINTER, IRRIGATED ",ACRES HARVESTED,WINTER,TOTAL,ACRES,WHEAT,144000
390,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, WINTER, NON-IRRIGATED ",ACRES HARVESTED,WINTER,TOTAL,ACRES,WHEAT,175000
404,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, WINTER, NON-IRRIGATED, CONTINUOUS CROP ",ACRES HARVESTED,WINTER,TOTAL,ACRES,WHEAT,29500
417,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, WINTER, NON-IRRIGATED, FOLLOWING SUMMER FALLOW ",ACRES HARVESTED,WINTER,TOTAL,ACRES,WHEAT,145500
436,EAST,AGRICULTURAL DISTRICT,1990,POTATOES ,ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,POTATOES,276600
10,EAST,AGRICULTURAL DISTRICT,1990,BARLEY ,"YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,BARLEY,67.1
25,EAST,AGRICULTURAL DISTRICT,1990,"BARLEY, IRRIGATED ","YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,BARLEY,83.6
40,EAST,AGRICULTURAL DISTRICT,1990,"BARLEY, NON-IRRIGATED ","YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,BARLEY,38.7
55,EAST,AGRICULTURAL DISTRICT,1990,"BARLEY, NON-IRRIGATED, CONTINUOUS CROP ","YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,BARLEY,38
70,EAST,AGRICULTURAL DISTRICT,1990,"BARLEY, NON-IRRIGATED, FOLLOWING SUMMER FALLOW ","YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,BARLEY,40.5
123,EAST,AGRICULTURAL DISTRICT,1990,"CORN, GRAIN ","YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,CORN,80
187,EAST,AGRICULTURAL DISTRICT,1990,OATS ,"YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,OATS,60.2
219,EAST,AGRICULTURAL DISTRICT,1990,WHEAT ,"YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,WHEAT,61.3
234,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, IRRIGATED ","YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,WHEAT,84.7
249,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, NON-IRRIGATED ","YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,WHEAT,26.8
264,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, NON-IRRIGATED, CONTINUOUS CROP ","YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,WHEAT,22.4
279,EAST,AGRICULTURAL DISTRICT,1990,"WHEAT, NON-IRRIGATED, FOLLOWING SUMMER FALLOW ","YIELD, MEASURED IN BU / ACRE",ALL CLASSES,TOTAL,BU / ACRE,WHEAT,28.2
