"","asd_desc","agg_level_desc","year","crop","info","class_desc","domain_desc","unit_desc","commodity_desc","value"
"1","","NATIONAL",1975,"BARLEY ","ACRES HARVESTED","ALL CLASSES","TOTAL","ACRES","BARLEY",NA
"2","","NATIONAL",1975,"BARLEY ","PRICE RECEIVED, MEASURED IN $ / BU","ALL CLASSES","TOTAL","$ / BU","BARLEY",2.42
"3","","NATIONAL",1975,"BARLEY ","YIELD, MEASURED IN BU / ACRE","ALL CLASSES","TOTAL","BU / ACRE","BARLEY",44
"4","","NATIONAL",1975,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS) ","PRICE RECEIVED, MEASURED IN $ / CWT","DRY EDIBLE, (EXCL CHICKPEAS)","TOTAL","$ / CWT","BEANS",20.1
"5","","NATIONAL",1975,"BEANS, DRY EDIBLE, INCL CHICKPEAS ","ACRES HARVESTED","DRY EDIBLE, INCL CHICKPEAS","TOTAL","ACRES","BEANS",NA
"6","","NATIONAL",1975,"BEANS, DRY EDIBLE, INCL CHICKPEAS ","YIELD, MEASURED IN LB / ACRE","DRY EDIBLE, INCL CHICKPEAS","TOTAL","LB / ACRE","BEANS",1190
"7","","NATIONAL",1975,"CORN, GRAIN ","ACRES HARVESTED","ALL CLASSES","TOTAL","ACRES","CORN",NA
"8","","NATIONAL",1975,"CORN, GRAIN ","PRICE RECEIVED, MEASURED IN $ / BU","ALL CLASSES","TOTAL","$ / BU","CORN",2.54
"9","","NATIONAL",1975,"CORN, GRAIN ","YIELD, MEASURED IN BU / ACRE","ALL CLASSES","TOTAL","BU / ACRE","CORN",86.4
"10","","NATIONAL",1975,"CORN, SILAGE ","ACRES HARVESTED","ALL CLASSES","TOTAL","ACRES","CORN",NA
"11","","NATIONAL",1975,"CORN, SILAGE ","YIELD, MEASURED IN TONS / ACRE","ALL CLASSES","TOTAL","TONS / ACRE","CORN",11.8
"12","","NATIONAL",1975,"COTTON ","ACRES HARVESTED","ALL CLASSES","TOTAL","ACRES","COTTON",NA
"13","","NATIONAL",1975,"COTTON ","PRICE RECEIVED, MEASURED IN $ / LB","ALL CLASSES","TOTAL","$ / LB","COTTON",0.513
"14","","NATIONAL",1975,"COTTON ","YIELD, MEASURED IN LB / ACRE","ALL CLASSES","TOTAL","LB / ACRE","COTTON",453
"15","","NATIONAL",1975,"COTTON, COTTONSEED ","PRICE RECEIVED, MEASURED IN $ / TON","COTTONSEED","TOTAL","$ / TON","COTTON",97
"16","","NATIONAL",1975,"COTTON, PIMA ","ACRES HARVESTED","PIMA","TOTAL","ACRES","COTTON",65900
"17","","NATIONAL",1975,"COTTON, PIMA ","PRICE RECEIVED, MEASURED IN $ / LB","PIMA","TOTAL","$ / LB","COTTON",0.789
"18","","NATIONAL",1975,"COTTON, PIMA ","YIELD, MEASURED IN LB / ACRE","PIMA","TOTAL","LB / ACRE","COTTON",397
"19","","NATIONAL",1975,"COTTON, UPLAND ","ACRES HARVESTED","UPLAND","TOTAL","ACRES","COTTON",NA
"20","","NATIONAL",1975,"COTTON, UPLAND ","PRICE RECEIVED, MEASURED IN $ / LB","UPLAND","TOTAL","$ / LB","COTTON",0.511
"21","","NATIONAL",1975,"COTTON, UPLAND ","YIELD, MEASURED IN LB / ACRE","UPLAND","TOTAL","LB / ACRE","COTTON",453
"22","","NATIONAL",1975,"FLAXSEED ","ACRES HARVESTED","ALL CLASSES","TOTAL","ACRES","FLAXSEED",NA
"23","","NATIONAL",1975,"FLAXSEED ","PRICE RECEIVED, MEASURED IN $ / BU","ALL CLASSES","TOTAL","$ / BU","FLAXSEED",6.57
