"","asd_desc","agg_level_desc","year","crop","info","class_desc","domain_desc","unit_desc","commodity_desc","value"
"1","NORTH","AGRICULTURAL DISTRICT",1990,"BARLEY ","ACRES HARVESTED","ALL CLASSES","TOTAL","ACRES","BARLEY",137000
"2","SOUTHWEST","AGRICULTURAL DISTRICT",1990,"BARLEY ","ACRES HARVESTED","ALL CLASSES","TOTAL","ACRES","BARLEY",38000
"3","SOUTH CENTRAL","AGRICULTURAL DISTRICT",1990,"BARLEY ","ACRES HARVESTED","ALL CLASSES","TOTAL","ACRES","BARLEY",140000
"4","EAST","AGRICULTURAL DISTRICT",1990,"BARLEY ","ACRES HARVESTED","ALL CLASSES","TOTAL","ACRES","BARLEY",465000
"5","","STATE",1990,"BARLEY ","ACRES HARVESTED","ALL CLASSES","TOTAL","ACRES","BARLEY",780000
"6","","STATE",1990,"BARLEY ","PRICE RECEIVED, MEASURED IN $ / BU","ALL CLASSES","TOTAL","$ / BU","BARLEY",2.62
"7","NORTH","AGRICULTURAL DISTRICT",1990,"BARLEY ","YIELD, MEASURED IN BU / ACRE","ALL CLASSES","TOTAL","BU / ACRE","BARLEY",59.2
"8","SOUTHWEST","AGRICULTURAL DISTRICT",1990,"BARLEY ","YIELD, MEASURED IN BU / ACRE","ALL CLASSES","TOTAL","BU / ACRE","BARLEY",94.9
"9","SOUTH CENTRAL","AGRICULTURAL DISTRICT",1990,"BARLEY ","YIELD, MEASURED IN BU / ACRE","ALL CLASSES","TOTAL","BU / ACRE","BARLEY",94.7
"10","EAST","AGRICULTURAL DISTRICT",1990,"BARLEY ","YIELD, MEASURED IN BU / ACRE","ALL CLASSES","TOTAL","BU / ACRE","BARLEY",67.1
"11","","STATE",1990,"BARLEY ","YIELD, MEASURED IN BU / ACRE","ALL CLASSES","TOTAL","BU / ACRE","BARLEY",72
"12","NORTH","AGRICULTURAL DISTRICT",1990,"BARLEY ","YIELD, MEASURED IN BU / NET PLANTED ACRE","ALL CLASSES","TOTAL","BU / NET PLANTED ACRE","BARLEY",58.8
"13","SOUTHWEST","AGRICULTURAL DISTRICT",1990,"BARLEY ","YIELD, MEASURED IN BU / NET PLANTED ACRE","ALL CLASSES","TOTAL","BU / NET PLANTED ACRE","BARLEY",92.5
"14","SOUTH CENTRAL","AGRICULTURAL DISTRICT",1990,"BARLEY ","YIELD, MEASURED IN BU / NET PLANTED ACRE","ALL CLASSES","TOTAL","BU / NET PLANTED ACRE","BARLEY",94
"15","EAST","AGRICULTURAL DISTRICT",1990,"BARLEY ","YIELD, MEASURED IN BU / NET PLANTED ACRE","ALL CLASSES","TOTAL","BU / NET PLANTED ACRE","BARLEY",66.1
"16","","STATE",1990,"BARLEY ","YIELD, MEASURED IN BU / NET PLANTED ACRE","ALL CLASSES","TOTAL","BU / NET PLANTED ACRE","BARLEY",71.1
"17","NORTH","AGRICULTURAL DISTRICT",1990,"BARLEY, IRRIGATED ","ACRES HARVESTED","ALL CLASSES","TOTAL","ACRES","BARLEY",1000
"18","SOUTHWEST","AGRICULTURAL DISTRICT",1990,"BARLEY, IRRIGATED ","ACRES HARVESTED","ALL CLASSES","TOTAL","ACRES","BARLEY",33000
"19","SOUTH CENTRAL","AGRICULTURAL DISTRICT",1990,"BARLEY, IRRIGATED ","ACRES HARVESTED","ALL CLASSES","TOTAL","ACRES","BARLEY",128000
