,asd_desc,agg_level_desc,year,crop,info,class_desc,domain_desc,unit_desc,commodity_desc,value
267,,NATIONAL,2005,ALMONDS ,"PRICE RECEIVED, MEASURED IN $ / LB",ALL CLASSES,TOTAL,$ / LB,ALMONDS,2.81
268,,NATIONAL,2005,APPLES ,"PRICE RECEIVED, MEASURED IN $ / LB",ALL CLASSES,TOTAL,$ / LB,APPLES,0.173
269,,NATIONAL,2005,"APPLES, FRESH MARKET ","PRICE RECEIVED, MEASURED IN $ / LB",ALL CLASSES,TOTAL,$ / LB,APPLES,0.242
270,,NATIONAL,2005,"APPLES, FRESH MARKET ","PRICE RECEIVED, MEASURED IN $ / LB",ALL CLASSES,TOTAL,$ / LB,APPLES,0.176
271,,NATIONAL,2005,"APPLES, FRESH MARKET ","PRICE RECEIVED, MEASURED IN PCT OF PARITY",ALL CLASSES,TOTAL,PCT OF PARITY,APPLES,39
272,,NATIONAL,2005,"APPLES, PROCESSING ","PRICE RECEIVED, MEASURED IN $ / TON",ALL CLASSES,TOTAL,$ / TON,APPLES,106
273,,NATIONAL,2005,"APPLES, PROCESSING, CANNED ","PRICE RECEIVED, MEASURED IN $ / TON",ALL CLASSES,TOTAL,$ / TON,APPLES,149
274,,NATIONAL,2005,"APPLES, PROCESSING, DRIED ","PRICE RECEIVED, MEASURED IN $ / TON",ALL CLASSES,TOTAL,$ / TON,APPLES,59.4
275,,NATIONAL,2005,"APPLES, PROCESSING, FRESH SLICES ","PRICE RECEIVED, MEASURED IN $ / TON",ALL CLASSES,TOTAL,$ / TON,APPLES,229
276,,NATIONAL,2005,"APPLES, PROCESSING, FROZEN ","PRICE RECEIVED, MEASURED IN $ / TON",ALL CLASSES,TOTAL,$ / TON,APPLES,134
277,,NATIONAL,2005,"APPLES, PROCESSING, JUICE ","PRICE RECEIVED, MEASURED IN $ / TON",ALL CLASSES,TOTAL,$ / TON,APPLES,67.4
278,,NATIONAL,2005,"APPLES, PROCESSING, OTHER ","PRICE RECEIVED, MEASURED IN $ / TON",ALL CLASSES,TOTAL,$ / TON,APPLES,160
279,,NATIONAL,2005,APRICOTS ,"PRICE RECEIVED, MEASURED IN $ / TON",ALL CLASSES,TOTAL,$ / TON,APRICOTS,520
280,,NATIONAL,2005,"APRICOTS, FRESH MARKET ","PRICE RECEIVED, MEASURED IN $ / TON",ALL CLASSES,TOTAL,$ / TON,APRICOTS,1100
281,,NATIONAL,2005,"APRICOTS, PROCESSING ","PRICE RECEIVED, MEASURED IN $ / TON",ALL CLASSES,TOTAL,$ / TON,APRICOTS,266
282,,NATIONAL,2005,"APRICOTS, PROCESSING, DRIED ","PRICE RECEIVED, MEASURED IN $ / TON, DRY BASIS",ALL CLASSES,TOTAL,"$ / TON, DRY BASIS",APRICOTS,2060
474,,NATIONAL,2005,ARTICHOKES ,ACRES HARVESTED,ALL CLASSES,TOTAL,ACRES,ARTICHOKES,7900
475,,NATIONAL,2005,ARTICHOKES ,"PRICE RECEIVED, MEASURED IN $ / CWT",ALL CLASSES,TOTAL,$ / CWT,ARTICHOKES,45.4
476,,NATIONAL,2005,ARTICHOKES ,"YIELD, MEASURED IN CWT / ACRE",ALL CLASSES,TOTAL,CWT / ACRE,ARTICHOKES,110
