"","asd_desc","agg_level_desc","year","crop","info","class_desc","domain_desc","unit_desc","commodity_desc","value"
"1","","NATIONAL",2015,"BARLEY, ORGANIC ","ACRES HARVESTED","ALL CLASSES","ORGANIC STATUS","ACRES","BARLEY",50826
"2","","NATIONAL",2015,"BARLEY, ORGANIC ","OPERATIONS WITH AREA HARVESTED","ALL CLASSES","ORGANIC STATUS","OPERATIONS","BARLEY",505
"3","","NATIONAL",2015,"BEANS, DRY EDIBLE, BLACK, ORGANIC ","ACRES HARVESTED","DRY EDIBLE, BLACK","ORGANIC STATUS","ACRES","BEANS",8618
"4","","NATIONAL",2015,"BEANS, DRY EDIBLE, BLACK, ORGANIC ","OPERATIONS WITH AREA HARVESTED","DRY EDIBLE, BLACK","ORGANIC STATUS","OPERATIONS","BEANS",102
"5","","NATIONAL",2015,"BEANS, DRY EDIBLE, INCL CHICKPEAS, ORGANIC ","ACRES HARVESTED","DRY EDIBLE, INCL CHICKPEAS","ORGANIC STATUS","ACRES","BEANS",20433
"6","","NATIONAL",2015,"BEANS, DRY EDIBLE, INCL CHICKPEAS, ORGANIC ","OPERATIONS WITH AREA HARVESTED","DRY EDIBLE, INCL CHICKPEAS","ORGANIC STATUS","OPERATIONS","BEANS",188
"7","","NATIONAL",2015,"BEANS, DRY EDIBLE, OTHER, ORGANIC ","ACRES HARVESTED","DRY EDIBLE, OTHER","ORGANIC STATUS","ACRES","BEANS",5651
"8","","NATIONAL",2015,"BEANS, DRY EDIBLE, OTHER, ORGANIC ","OPERATIONS WITH AREA HARVESTED","DRY EDIBLE, OTHER","ORGANIC STATUS","OPERATIONS","BEANS",63
"9","","NATIONAL",2015,"BEANS, DRY EDIBLE, PINTO, ORGANIC ","ACRES HARVESTED","DRY EDIBLE, PINTO","ORGANIC STATUS","ACRES","BEANS",6164
"10","","NATIONAL",2015,"BEANS, DRY EDIBLE, PINTO, ORGANIC ","OPERATIONS WITH AREA HARVESTED","DRY EDIBLE, PINTO","ORGANIC STATUS","OPERATIONS","BEANS",49
"11","","NATIONAL",2015,"BUCKWHEAT, ORGANIC ","ACRES HARVESTED","ALL CLASSES","ORGANIC STATUS","ACRES","BUCKWHEAT",6675
"12","","NATIONAL",2015,"BUCKWHEAT, ORGANIC ","OPERATIONS WITH AREA HARVESTED","ALL CLASSES","ORGANIC STATUS","OPERATIONS","BUCKWHEAT",68
"13","","NATIONAL",2015,"CANOLA, ORGANIC ","OPERATIONS WITH AREA HARVESTED","ALL CLASSES","ORGANIC STATUS","OPERATIONS","CANOLA",2
"14","","NATIONAL",2015,"CHICKPEAS, ORGANIC ","ACRES HARVESTED","ALL CLASSES","ORGANIC STATUS","ACRES","CHICKPEAS",4403
"15","","NATIONAL",2015,"CHICKPEAS, ORGANIC ","OPERATIONS WITH AREA HARVESTED","ALL CLASSES","ORGANIC STATUS","OPERATIONS","CHICKPEAS",13
"16","","NATIONAL",2015,"CORN, GRAIN, ORGANIC ","ACRES HARVESTED","ALL CLASSES","ORGANIC STATUS","ACRES","CORN",166841
"17","","NATIONAL",2015,"CORN, GRAIN, ORGANIC ","OPERATIONS WITH AREA HARVESTED","ALL CLASSES","ORGANIC STATUS","OPERATIONS","CORN",2720
"18","","NATIONAL",2015,"CORN, SILAGE, ORGANIC ","ACRES HARVESTED","ALL CLASSES","ORGANIC STATUS","ACRES","CORN",35149
"19","","NATIONAL",2015,"CORN, SILAGE, ORGANIC ","OPERATIONS WITH AREA HARVESTED","ALL CLASSES","ORGANIC STATUS","OPERATIONS","CORN",947
"20","","NATIONAL",2015,"COTTON, ORGANIC ","ACRES HARVESTED","ALL CLASSES","ORGANIC STATUS","ACRES","COTTON",14005
"21","","NATIONAL",2015,"COTTON, ORGANIC ","OPERATIONS WITH AREA HARVESTED","ALL CLASSES","ORGANIC STATUS","OPERATIONS","COTTON",37
"22","","NATIONAL",2015,"FIELD CROP TOTALS, ORGANIC ","ACRES HARVESTED","ALL CLASSES","ORGANIC STATUS","ACRES","FIELD CROP TOTALS",NA
"23","","NATIONAL",2015,"FIELD CROP TOTALS, ORGANIC ","OPERATIONS WITH AREA HARVESTED","ALL CLASSES","ORGANIC STATUS","OPERATIONS","FIELD CROP TOTALS",6403
"24","","NATIONAL",2015,"FIELD CROPS, OTHER, ORGANIC ","ACRES HARVESTED","ALL CLASSES","ORGANIC STATUS","ACRES","FIELD CROPS, OTHER",20690
"25","","NATIONAL",2015,"FIELD CROPS, OTHER, ORGANIC ","OPERATIONS WITH AREA HARVESTED","ALL CLASSES","ORGANIC STATUS","OPERATIONS","FIELD CROPS, OTHER",234
"26","","NATIONAL",2015,"FLAXSEED, ORGANIC ","ACRES HARVESTED","ALL CLASSES","ORGANIC STATUS","ACRES","FLAXSEED",10008
"27","","NATIONAL",2015,"FLAXSEED, ORGANIC ","OPERATIONS WITH AREA HARVESTED","ALL CLASSES","ORGANIC STATUS","OPERATIONS","FLAXSEED",52
"28","","NATIONAL",2015,"HAY, (EXCL ALFALFA), ORGANIC ","ACRES HARVESTED","(EXCL ALFALFA)","ORGANIC STATUS","ACRES","HAY",181762
"29","","NATIONAL",2015,"HAY, (EXCL ALFALFA), ORGANIC ","OPERATIONS WITH AREA HARVESTED","(EXCL ALFALFA)","ORGANIC STATUS","OPERATIONS","HAY",1673
"30","","NATIONAL",2015,"HAY, ALFALFA, ORGANIC ","ACRES HARVESTED","ALFALFA","ORGANIC STATUS","ACRES","HAY",248569
"31","","NATIONAL",2015,"HAY, ALFALFA, ORGANIC ","OPERATIONS WITH AREA HARVESTED","ALFALFA","ORGANIC STATUS","OPERATIONS","HAY",2055
"32","","NATIONAL",2015,"HAY, ORGANIC ","ACRES HARVESTED","ALL CLASSES","ORGANIC STATUS","ACRES","HAY",430331
"33","","NATIONAL",2015,"HAY, ORGANIC ","OPERATIONS WITH AREA HARVESTED","ALL CLASSES","ORGANIC STATUS","OPERATIONS","HAY",3451
