"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CROP SECTOR - INDEX FOR PRICE PAID, 2011  -  <b>VALUE</b>","CROP SECTOR - INDEX FOR PRICE PAID, 2011  -  <b>CV (%)</b>"
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","110.2",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","108.1",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","106.8",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","109.2",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","108.1",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","104.5",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","102.8",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","91",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","88.2",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","90.6",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","78.2",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","73",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","68.6",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","64.1",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","61.3",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","59.1",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","58.9",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","57.1",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","55.3",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","55.6",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","56.3",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","55",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","52.9",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","50.5",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","48.8",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","48",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","47.1",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP SECTOR","TOTAL","NOT SPECIFIED","45.7",""
