"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","HAY - PRICE RECEIVED, MEASURED IN $ / TON  -  <b>VALUE</b>","HAY - PRICE RECEIVED, MEASURED IN $ / TON  -  <b>CV (%)</b>"
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","137",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","132",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","151",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","175",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","183",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","184",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","159",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","110",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","117",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","148",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","124",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","105",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","96.3",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","89.5",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","88.8",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","93.7",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","95.2",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","80.4",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","78.7",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","89.7",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","102.8",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","HAY","TOTAL","NOT SPECIFIED","88.9",""
