Crop,2010 Pixel Count,2011 Pixel Count,2012 Pixel Count,2013 Pixel Count,2014 Pixel Count,2015 Pixel Count,2016 Pixel Count,2017 Pixel Count
Alfalfa,5.57E+06,5.64E+06,5.60E+06,5.01E+06,4.01E+06,4.55E+06,4.47E+06,4.37E+06
Almonds,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Apples,1.02E+04,1.10E+04,1.44E+04,9.45E+03,8.98E+03,6.00E+03,1.20E+04,1.11E+04
Apricots,0.00E+00,0.00E+00,0.00E+00,2.54E+02,0.00E+00,1.37E+02,7.19E+02,2.67E+02
Aquaculture,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Asparagus,0.00E+00,0.00E+00,0.00E+00,8.90E+01,3.23E+02,3.20E+01,1.00E+00,0.00E+00
Barley,2.05E+06,1.86E+06,2.24E+06,2.05E+06,1.72E+06,1.48E+06,2.04E+06,2.07E+06
Barren,2.55E+06,2.51E+06,2.55E+06,2.47E+06,2.65E+06,2.46E+06,2.63E+06,2.46E+06
Barren,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Blueberries,0.00E+00,3.60E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Broccoli,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Buckwheat,0.00E+00,0.00E+00,2.03E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Cabbage,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.40E+01,0.00E+00,5.00E+00,3.30E+01
Camelina,0.00E+00,0.00E+00,7.83E+03,7.13E+03,3.67E+02,2.00E+00,2.17E+03,2.42E+03
Caneberries,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Canola,1.42E+04,5.73E+03,1.21E+04,9.25E+03,9.61E+03,9.93E+03,7.32E+03,1.66E+04
Cantaloupes,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Carrots,7.61E+03,6.74E+03,6.14E+03,6.94E+03,5.10E+03,2.75E+03,5.63E+03,2.23E+03
Cauliflower,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Celery,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Cherries,1.45E+03,0.00E+00,1.79E+03,2.31E+03,1.76E+03,9.52E+02,2.16E+03,2.83E+03
Chick Peas,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Christmas Trees,5.70E+02,7.00E+00,6.45E+02,0.00E+00,8.00E+00,1.00E+00,7.60E+01,0.00E+00
Citrus,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Clouds/No Data,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Clover/Wildflowers,2.59E+03,3.28E+03,1.95E+03,1.72E+03,4.76E+03,4.96E+03,3.40E+03,2.17E+03
Corn,1.53E+06,1.60E+06,1.19E+06,1.15E+06,1.36E+06,1.21E+06,1.41E+06,1.40E+06
Cotton,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Cranberries,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.20E+01,0.00E+00,0.00E+00
Cucumbers,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Dbl Crop Barley/Corn,9.80E+01,4.06E+02,7.44E+02,2.34E+03,0.00E+00,0.00E+00,3.90E+02,3.80E+01
Dbl Crop Barley/Sorghum,0.00E+00,0.00E+00,0.00E+00,8.04E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Dbl Crop Barley/Soybeans,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Dbl Crop Corn/Soybeans,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Dbl Crop Durum Wht/Sorghum,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Dbl Crop Lettuce/Barley,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Dbl Crop Lettuce/Cantaloupe,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
